id,chapter,zoom,image,source-credit,source-link,description,lon,lat
1,Pueblo,15,Asquipata_pueblo,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/1Asquipata_pueblo.JPG,Asquipata,-73.9078031,-14.05292365
2,Ruta almacenes,16,Vizcachayoc_ab,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/2Vizcachayoc_almacenSL_a.JPG,Asquipata,-73.9306295,-14.04936016
3,Ruta almacenes,17,Killirka_ab,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/4Killirka_a.JPG,Asquipata,-73.9265275,-14.06705071
4,Ruta almacenes,15,Sayhuapata,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/5Sayhuapata.JPG,Asquipata,-73.9229745,-14.0655723
5,Ruta almacenes,16,Sillacha_ab,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/6Sillacha_a.JPG,Asquipata-Chihuire,-73.963809,-14.10017427
6,Pueblo,17,MorcollaChico_pueblo,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/7MorcollaChico_pueblo.JPG,Asquipata-MorcollaChico,-73.9275108,-14.10812389
7,Ataque Militar Huida SL,15,Chaucerahuaycco,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/8Chaucerahuaycco.JPG,Asquipata-MorcollaChico,-73.926349,-14.11056616
8,Pueblo,17,Luca_pueblo,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/11Luca_pueblo.JPG,Lucanamarca,-74.3728922,-13.84403007
9,Ruta almacenes,15,Piskupunku_abc,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/12Piskupunku_a.JPG,Lucanamarca,-74.3887237,-13.80819219
10,Ruta almacenes,16,Anccasccocha_ab,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/13Anccasccocha_a.JPG,Lucanamarca,-74.4210666,-13.83031761
11,Cementerio,15,Machiri_cementerio,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/15Machiri_cementerio.JPG,Carapo-Manchiri,-74.3139989,-13.78152924
12,Ataque policial,16,Mamasuyana_ab,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/19Mamasuyana_a.JPG,Sacsamarca-Pallca,-74.2491183,-13.87896326
13,Ruta almacenes,17,Chalala_abc,Source: Comisedh,https://raw.githubusercontent.com/bzdjahna/StoryMap/main/jpg/20Chalala_a.JPG,Carapo,-74.2558146,-13.86573653
